DOC_ID,page,display,passage
1,1,财务差旅费报销标准,出差住宿标准：一线城市500元/晚，二线城市350元/晚，三线城市250元/晚。餐补：100元/天。交通费实报实销，需提供正规发票。
2,1,财务日常费用报销流程,报销流程：填写报销单→粘贴发票→部门负责人审批→财务审核→出纳付款。报销周期为7个工作日，每月25日截止当月报销。
3,1,财务年度预算编制规范,每年10月启动下年度预算编制，各部门需提交预算申请表，财务部汇总审核，12月15日前完成审批，预算执行偏差超过10%需说明原因。
4,1,财务固定资产管理制度,固定资产标准：单价2000元以上且使用年限超过1年。资产采购需填写申购单，资产盘点每年两次（6月和12月），资产报废需填写报废审批单。
5,1,财务发票管理制度,增值税专用发票认证期限为180天，普通发票为360天。发票丢失需填写丢失说明并登报声明，虚开发票将追究法律责任。
6,1,财务资金审批权限制度,单笔支出1万元以下由部门经理审批，1-5万元由财务总监审批，5-10万元由总经理审批，10万元以上需董事会批准。
7,1,财务会计核算规范,会计凭证需在业务发生后5个工作日内录入，每月10日前完成上月账务处理，每月15日前出具财务报表，年度审计由外部审计机构完成。
8,1,财务备用金管理制度,部门备用金额度5000元，用于日常小额支出，需指定专人保管，每月报销一次，年底需全额归还并重新申请。
9,1,财务费用控制制度,各部门每月25日提交下月费用预算，预算外支出需填写特批申请单，超预算10%以上需总经理审批，超预算30%以上需董事会审批。
10,1,财务资产领用登记制度,资产领用需填写领用单，登记领用人、部门、使用地点。资产转移需办理转移手续，离职员工需归还所有领用资产。
