DOC_ID,page,display,passage
1,1,HR员工入职流程,新员工入职需提供身份证、学历证书、银行卡复印件，填写员工信息表，签订劳动合同（试用期3个月），领取工牌和办公用品。
2,1,HR考勤管理制度,公司实行弹性工作制，核心工作时间9:30-16:30，每月迟到超过3次每次扣款50元，请假需提前一天在OA系统提交申请。
3,1,HR绩效评估制度,每季度进行一次KPI考核，考核结果分为A（优秀）、B（良好）、C（待改进）、D（不合格）四个等级，连续两个季度D等级将被劝退。
4,1,HR招聘流程规范,招聘流程：部门提交用人需求→HR发布招聘信息→简历筛选→初试（HR）→复试（部门负责人）→背景调查→发放Offer→入职办理，整个周期控制在15个工作日内。
5,1,HR员工培训制度,新员工入职培训为期3天，内容包括公司文化、规章制度、岗位技能培训。每年每位员工需完成40小时以上的在职培训。
6,1,HR薪酬福利制度,薪资发放日为每月15日，包含基本工资、绩效奖金、餐补（500元/月）、交通补贴（300元/月），年终奖根据年度绩效评定发放1-3个月工资。
7,1,HR离职管理制度,员工离职需提前30天提交书面申请，办理工作交接、资产归还、财务结算，HR进行离职面谈并出具离职证明。
8,1,HR请假管理制度,年假：入职满1年享有5天，满3年10天，满5年15天。病假需提供医院证明，事假需提前3天申请，婚假13天，产假98天。
9,1,HR背景调查规范,背景调查需征得候选人同意，调查内容包括前雇主工作表现、学历真实性、犯罪记录查询，调查周期不超过3个工作日。
10,1,HR员工福利制度,公司提供五险一金、补充医疗保险、年度体检（1次/年）、节日礼品、生日福利、团建经费（每人800元/年）、学习补贴（每人2000元/年）。
